hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
307,130829.36754406663,,0.0,,20000.0,-0.0,1.0,110829.36754406663
308,120082.73180854962,,0.0,,20000.0,-0.0,1.0,100082.73180854962
309,131187.732028994,,0.0,,20000.0,-0.0,1.0,111187.73202899401
310,124872.59547230817,,0.0,,20000.0,-0.0,1.0,104872.59547230817
311,107763.73264167954,,0.0,,20000.0,-0.0,1.0,87763.73264167954
312,109233.81747411644,,0.0,,20000.0,-0.0,1.0,89233.81747411644
313,100570.54235548116,,0.0,,20000.0,-0.0,1.0,80570.54235548116
314,97747.12922616924,,0.0,,20000.0,-0.0,1.0,77747.12922616924
315,89539.38793033564,,0.0,,20000.0,-0.0,1.0,69539.38793033564
316,87962.05660858996,,0.0,,20000.0,-0.0,1.0,67962.05660858996
317,100093.08351098777,,0.0,,20000.0,-0.0,1.0,80093.08351098777
318,91700.63173292844,,0.0,,20000.0,-0.0,1.0,71700.63173292844
319,97559.75639940242,,0.0,,20000.0,-0.0,1.0,77559.75639940242
320,101720.36876115174,,-0.0,,20000.0,-0.0,1.0,81720.36876115174
321,91474.0998564103,,6386.333576710392,,20000.0,-0.0,1.0,77860.43343312069
322,117772.00587054982,,66287.1685233468,,20000.0,-0.0,1.0,164059.17439389662
323,134151.66306367642,,101515.65493016776,,20000.0,-0.0,1.0,215667.31799384416
324,175094.91204717447,,150000.0,,20000.0,-0.0,1.0,305094.91204717447
325,134368.06416798042,,150000.0,,20000.0,-0.0,1.0,264368.06416798045
326,127168.95794365967,,150000.0,,20000.0,-0.0,1.0,257168.95794365968
327,124019.56414469163,,139034.90312719447,,20000.0,-0.0,1.0,243054.46727188607
328,128641.67116372239,,46345.24361972782,,20000.0,-0.0,1.0,154986.91478345022
329,174442.3467447522,,0.0,,20000.0,-0.0,1.0,154442.3467447522
330,203130.16653318435,,0.0,,20000.0,-0.0,1.0,183130.16653318435
331,214696.7317939155,,0.0,,20000.0,-0.0,1.0,194696.7317939155
